Date,Open,High,Low,Close,Adj Close,Volume
2011-04-12,11.803214,11.918928,11.792857,11.871428,10.157732,425639200
2011-04-13,11.965000,12.005000,11.875714,12.004642,10.271715,346220000
2011-04-14,11.957143,12.000000,11.859285,11.872143,10.158345,301800800
2011-04-15,11.903571,11.915714,11.671429,11.695000,10.006773,453605600
2011-04-18,11.646428,11.865357,11.434286,11.851786,10.140927,609898800
2011-04-19,11.896428,12.070714,11.846786,12.066428,10.324584,419378400
2011-04-20,12.268214,12.348214,12.196428,12.228929,10.463625,700666400
2011-04-21,12.678572,12.683214,12.447143,12.525000,10.716955,753810400
2011-04-25,12.512143,12.633928,12.510715,12.607500,10.787549,266546000
2011-04-26,12.629286,12.678214,12.476786,12.515000,10.708401,338800000
2011-04-27,12.580000,12.583928,12.396428,12.505357,10.700151,356213200
2011-04-28,12.363929,12.491072,12.340000,12.383928,10.596250,360959200
2011-04-29,12.385000,12.641071,12.381071,12.504642,10.699543,1006345200
2011-05-02,12.490714,12.516786,12.339286,12.367143,10.581888,442713600
2011-05-03,12.428214,12.496072,12.343572,12.435715,10.640561,313348000
2011-05-04,12.437857,12.565357,12.388572,12.484643,10.682426,389250400
2011-05-05,12.442857,12.533929,12.358929,12.383928,10.596250,335969200
2011-05-06,12.488929,12.500000,12.364643,12.380714,10.593498,280134400
2011-05-09,12.423572,12.471429,12.376071,12.414286,10.622227,204747200
2011-05-10,12.460357,12.488929,12.380714,12.480357,10.678761,282091600
2011-05-11,12.465000,12.500000,12.330000,12.401072,10.610920,336000000
2011-05-12,12.361428,12.397142,12.223928,12.377500,10.590752,322000000
2011-05-13,12.345000,12.366072,12.155357,12.160714,10.405258,326116000
2011-05-16,12.114285,12.186429,11.878572,11.903571,10.185235,449775200
2011-05-17,11.857142,12.005000,11.811786,12.005000,10.272023,452334400
2011-05-18,12.016786,12.180357,12.000000,12.138214,10.386005,334776400
2011-05-19,12.217143,12.228929,12.095357,12.161786,10.406176,261170000
2011-05-20,12.127143,12.176785,11.965000,11.972143,10.243912,337968400
2011-05-23,11.784643,11.999286,11.765000,11.942857,10.218848,383600000
2011-05-24,11.982142,11.996428,11.833571,11.863929,10.151317,321927200
2011-05-25,11.908215,12.091429,11.887500,12.027857,10.291579,294224000
2011-05-26,11.998929,12.031786,11.943929,11.964286,10.237184,222560800
2011-05-27,11.957143,12.058214,11.939643,12.050357,10.310831,203599200
2011-05-31,12.182143,12.422500,12.178572,12.422500,10.629257,417754400
2011-06-01,12.459642,12.576072,12.308928,12.339643,10.558356,554682800
